51	1.78e-07	1.37e-07	2.98e-07		1.1e-07	8.6e-08	1.14e-07
52	1.86e-07	1.32e-07	5.24e-07		1.05e-07	8.3e-08	2.08e-07
53	3.6e-07	3.09e-07	7.44e-07		2e-07	1.89e-07	3.11e-07
54	7.13e-07	3.07e-07	2.61e-07		3.06e-07	1.8e-07	1.16e-07
55	1.71e-07	1.42e-07	3.4e-07		1.01e-07	9.1e-08	1e-07
56	2.43e-07	1.47e-07	3.19e-07		1.12e-07	9.3e-08	1.14e-07
57	1.84e-07	1.56e-07	2.45e-07		1.1e-07	9.4e-08	1e-07
58	1.98e-07	1.53e-07	2.82e-07		1.09e-07	9.5e-08	1.06e-07
59	2.18e-07	2.35e-07	5.18e-07		1.2e-07	1.58e-07	2.31e-07
60	2.43e-07	7.14e-07	1.417e-06		1.5e-07	4.4e-07	5.96e-07
61	9.38e-07	7.25e-07	9.59e-07		5.94e-07	4.42e-07	4.36e-07
62	3.29e-07	2.67e-07	2.78e-07		1.91e-07	1.6e-07	1.19e-07
63	1.92e-07	1.52e-07	3.06e-07		1.12e-07	9.4e-08	1.22e-07
64	4.41e-07	1.88e-07	4.13e-07		2.04e-07	1.13e-07	1.77e-07
65	7.45e-07	5.62e-07	3.54e-07		4.1e-07	3.46e-07	1.81e-07
66	4.41e-07	7.57e-07	6.64e-07		1.73e-07	5.03e-07	2.21e-07
67	2.51e-07	1.62e-07	2.89e-07		1.33e-07	9.8e-08	1.33e-07
68	5.21e-07	1.89e-07	5.72e-07		2.06e-07	1.19e-07	2.18e-07
69	3.05e-07	2.31e-07	3.38e-07		1.78e-07	1.42e-07	1.25e-07
70	2.32e-07	1.73e-07	3.37e-07		1.24e-07	1.04e-07	1.25e-07
71	1.17e-06	3.37e-07	5.68e-07		2.67e-07	1.8e-07	1.79e-07
72	2.6e-07	1.82e-07	4.92e-07		1.35e-07	1.12e-07	1.3e-07
73	4.44e-07	1.83e-07	3.01e-07		1.39e-07	1.13e-07	1.27e-07
74	6.3e-07	2.06e-07	3.08e-07		2.35e-07	1.24e-07	1.29e-07
75	4.71e-07	1.87e-07	2.94e-07		1.55e-07	1.17e-07	1.41e-07
76	2.74e-07	1.85e-07	2.77e-07		1.47e-07	1.11e-07	1.28e-07
77	3.21e-07	2.57e-07	3.37e-07		2.93e-07	1.67e-07	1.51e-07
78	5.9e-07	5.19e-07	3.85e-07		3.31e-07	3.15e-07	1.78e-07
79	2.48e-07	1.84e-07	4.84e-07		1.39e-07	1.13e-07	1.69e-07
